category,question
SCIENCE,"Glycine is the simplest one of these, the essential building blocks of all proteins"
SCIENCE,"(<a href=""http://www.j-archive.com/media/2009-09-29_DJ_17.wmv"">Jimmy of the Clue Crew shows an animation on the monitor.</a>)  Charged particles from the Sun that become trapped in the Earth's magnetic field & interact with gases in the upper atmosphere cause this phenomenon"
SCIENCE,"Metabolic imbalances can cause this, an electrical disturbance that alters the heartbeat"
SCIENCE,"The production of antibodies is stimulated by the presence of these, like viruses, toxins & bacteria"
SCIENCE,Sediments laid down by streams during flooding form this type of plain
SCIENCE,This deficiency of hemoglobin is often accompanied by a reduced  number of red blood cells
SCIENCE,"This adjective means ""having a pH factor of more than 7"""
SCIENCE,"(<a href=""http://www.j-archive.com/media/2008-03-25_DJ_07.wmv"">Jon  of the Clue Crew reports from the lab, holding an inflated balloon.</a>)  If you put a flame up to a balloon it will pop, but if you put water inside the balloon and hold it over a flame it will not pop, because the water does this"
SCIENCE,"The name of this one-celled protozoan comes from the Greek for ""change"""
SCIENCE,"This type of ""shock"" is usually a severe allergic reaction, as to a bee sting"
SCIENCE,"This term for a plant or animal with a marked deficiency of pigmentation comes from the Latin for ""white"""
SCIENCE,"( <a href=""http://www.j-archive.com/media/2007-12-06_J_07.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue from a science lab.</a> ) After five minutes in lemon juice, the <a href=""http://www.j-archive.com/media/2007-12-06_J_07a.jpg"" target=""_blank"">coin is shiny</a> because the lemon's this works chemically to remove the oxide"
SCIENCE,The formula for this hormone is C<sub>9</sub>H<sub>13</sub>NO<sub>3</sub>; can you feel it speeding up your heartbeat?
SCIENCE,"( <a href=""http://www.j-archive.com/media/2007-12-06_J_10.jpg"" target=""_blank"">Jon of the Clue Crew reports from the  University of Mississippi.</a> )  Focused ultrasound waves are propelling the water here at Ol' Miss's cutting edge NCPA -- National Center for Physical these"
SCIENCE,"This inert gas is atomic number 18; you should ""naut"" search any further"
SCIENCE,The 8 essential types of these acids cannot be produced by the human body & must be obtained from food
SCIENCE,Revive yourself & give the name of this compound of nitrogen & hydrogen that has been used for refrigeration
