category,question
HISTORY,"On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word"
HISTORY,It became a U.S. territory in 1900 & a state 59 years later
HISTORY,Susan B. Anthony was arrested in 1872 for doing this
HISTORY,In 1949 Henry H. Arnold became the first general of this branch of the armed forces
HISTORY,In April 1984 this U.S. government agency admitted its role in the mining of Nicaraguan harbors
HISTORY,John Hancock held this political position from 1780-85 & from 1787-93
HISTORY,In December 1974 this former New York governor was sworn in as Vice President
HISTORY,"In 1951 he told a joint session of congress that he ""tried to do his duty as god gave him the light to see that duty"""
HISTORY,This political party founded around 1789 stood for a strong central government
HISTORY,His foes said that in 1877 he agreed to withdraw remaining federal troops from the south in return for electoral support
HISTORY,"In 1917 the U.S. purchased the islands of St. Croix, St. John & St. Thomas from this country for $25 million"
HISTORY,"In 1791 this Treasury Secretary issued his ""Report On Manufactures"", a critique of American industry"
HISTORY,"When West Virginia became a state in 1863, Wheeling was its capital; this city became the permanent capital in 1885"
HISTORY,"In 1698, after an absence of 15 years, he returned to the colony named for his father"
HISTORY,"On Aug. 2, 1826 at Boston's Faneuil Hall, this great orator delivered a eulogy on Jefferson & Adams"
HISTORY,"Completed in 1856, California's first railroad ran 22 miles between Sacramento & this prison city"
HISTORY,"Between 1856 & 1860, 2,962 of this faith set out from Iowa & Nebraska to Utah in the Handcart Migration"
HISTORY,"On April 2, 1917 President Wilson told Congress, ""The world must be made safe for"" this"
HISTORY,"On April 20, 1971 the U.S. Supreme Court upheld this transportation method as a way to achieve school integration"
HISTORY,"John O'Sullivan, who later became a diplomat, coined this term for the USA's right to cover the continent"
HISTORY,In 1798 Congress passed this collection of bills to control domestic dissent & conspiracy against the federal govt.
HISTORY,British commander Sir Edward Pakenham was killed in this battle fought 2 weeks after the War of 1812
HISTORY,"To reach eastern markets in the 1800s, Texas drovers brought their cattle to Kansas via this trail"
HISTORY,"On November 14, 1889, the New York World called her trip, ""The Longest Journey Known to Mankind"""
HISTORY,"On Mar. 27, 1964 this largest Alaska city was hit by an 8.4 earthquake"
HISTORY,In 1787 Arthur St. Clair became the first governor of this vast territory north of the Ohio River
HISTORY,This statue got a new torch in 1986; the old one was 100 years old
HISTORY,"Term for the women of the 1920s who wore bobbed hair, short dresses & long strings of beads"
HISTORY,"This Sunshine State once had east & west portions; the western part now belongs to Ala., Miss. & La."
HISTORY,"In 1899 President McKinley took a turn in the Locomobile, a car made by Stanley & propelled by this"
HISTORY,Andrew Jackson was one of the landowners who founded this Tennessee town overlooking the Mississippi in 1819
HISTORY,Victor Marie du Pont served as a captain of this state's volunteers in the War of 1812
HISTORY,"When this convened in May 1787, Adams was in London, Jefferson was in Paris & Patrick Henry refused to attend"
HISTORY,Americans began to oocupy this even before we could send Russia the $7.2 million we paid for it
HISTORY,He was the only member of the Warren Commission who would later face would-be assassins himself
HISTORY,In 1818 U.S. troops sacked Pensacola as they marched into this Spanish territory; soon it was ours
HISTORY,"African Americans, 13% of the U.S., were nearly twice that percentage of U.S. troops in this 1990-91 war"
HISTORY,In 1960 the last of these locomotives was retired from general use in the U.S. & Diesel ones took over
HISTORY,In the 1600s most of New York State was occupied by this Native American confederacy
HISTORY,"In 1899 Secretary of State John Hay proclaimed this ""welcoming"" policy to preserve U.S. trading rights in China"
HISTORY,"2 years after exploring the Northwest with William Clark, he was named gov. of the Louisiana territory"
HISTORY,"This group of volunteers, created on Mar. 1, 1961, works to improve living conditions in other nations"
HISTORY,"On April 24, 1980 an attempt to rescue 53 hostages in this capital city was called off"
HISTORY,"'Ullo, Gouverneur!  This signer of the Constitution gave the document its final wording"
HISTORY,"On Dec. 9, 1992, the first group of U.S. Marines arrived in this African nation to restore order"
HISTORY,From 1804 to 1806 this pair explored the area between the Mississippi River & the mouth of the Columbia River
HISTORY,"On March 10, 1977, this Cesar Chavez labor group signed an agreement with the Teamsters union"
HISTORY,In 1920 this president signed legislation returning the railroads to private ownership
HISTORY,"The Kansas-Nebraska Act of 1854 repealed this ""compromise"" of 1820"
HISTORY,The government leasing oil reserves to Mammoth Oil in 1922 caused this scandal the next year
HISTORY,In 1787-88 the Anti-Federalists opposed the ratification of this document
HISTORY,"After a defeat in 1835 for reelection to Congress from Tennessee, this frontiersman moved to Texas"
HISTORY,A Ute legend says the Great Spirit created all life on this peak discovered in 1806
HISTORY,Nickname given in the 1930s to the area seen here in a famous Arthur Rothstein photo
HISTORY,"When he began his Progressive Party, Teddy Roosevelt said he felt as fit as one of these animals"
HISTORY,In 1961 he became the first brother of a president appointed to a cabinet position
HISTORY,"On January 21, 1977 this president pardoned several thousand Vietnam War draft evaders"
HISTORY,In 1915 this Hull House founder helped establish the Women's International League for Peace & Freedom
HISTORY,"On June 21, 1982 he was found not guilty by reason of insanity in the shooting of President Reagan"
HISTORY,"In searching for the 7 Cities of Cibola, he & his men traveled as far north as present-day Lyons, Kansas"
HISTORY,"On April 14, 1865 Abraham Lincoln authorized this govt. agency; its main job then was to protect against counterfeiting"
HISTORY,Captain John Smith became president of this Virginia colony's council in September 1608
HISTORY,He served as the first chief justice of New York before he became first chief justice of the U.S.
HISTORY,"It was necessary for George Washington to surrender Fort Necessity July 3, 1754, during this war"
HISTORY,"This president's political enemies referred to him as the ""Beast of Buffalo"""
HISTORY,"Aaron Burr & Molly Pitcher distinguished themselves at the June 28, 1778 battle of this"
HISTORY,"This legislative body first met on March 4, 1789 in New York City, but only 8 of its 22 members were present"
